field_name,source_surface,resource,grain,decomposition_basis,field_type,player_link,fixture_link,club_link,canonical_attachment,relationship_kind,identity_contract,source_identity_required,relationship_note
challengeLost,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
clearanceOffLine,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
crossNotClaimed,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,player_fixture,OBSERVATION,player_identity_to_player_match_observations,TRUE,Player-match observations require verified player and fixture identity.
dispossessed,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
duelLost,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
duelWon,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
errorLeadToAGoal,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,player_fixture,OBSERVATION,player_identity_to_player_match_observations,TRUE,Player-match observations require verified player and fixture identity.
errorLeadToAShot,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,player_fixture,OBSERVATION,player_identity_to_player_match_observations,TRUE,Player-match observations require verified player and fixture identity.
expectedAssists,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
expectedGoals,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
expectedGoalsOnTarget,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
fouls,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,player_fixture,OBSERVATION,player_identity_to_player_match_observations,TRUE,Player-match observations require verified player and fixture identity.
gameweek,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
goalAssist,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
goals,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,RELATIONSHIP_METADATA_PRESENT,NOT_IN_DIRECT_GRAIN,player_season,ENTITY,source_player_identity_to_player_season,TRUE,Player-season rows require season-aware source-player identity.
goalsPrevented,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,player_fixture,OBSERVATION,player_identity_to_player_match_observations,TRUE,Player-match observations require verified player and fixture identity.
goodHighClaim,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
hitWoodwork,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
interceptionWon,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
keyPass,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,player_fixture,OBSERVATION,player_identity_to_player_match_observations,TRUE,Player-match observations require verified player and fixture identity.
lastManTackle,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,player_fixture,OBSERVATION,player_identity_to_player_match_observations,TRUE,Player-match observations require verified player and fixture identity.
matchId,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
metersCoveredHighSpeedRunningKm,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,player_fixture,OBSERVATION,player_identity_to_player_match_observations,TRUE,Player-match observations require verified player and fixture identity.
metersCoveredJoggingKm,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,player_fixture,OBSERVATION,player_identity_to_player_match_observations,TRUE,Player-match observations require verified player and fixture identity.
metersCoveredRunningKm,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,player_fixture,OBSERVATION,player_identity_to_player_match_observations,TRUE,Player-match observations require verified player and fixture identity.
metersCoveredSprintingKm,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,player_fixture,OBSERVATION,player_identity_to_player_match_observations,TRUE,Player-match observations require verified player and fixture identity.
metersCoveredWalkingKm,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,player_fixture,OBSERVATION,player_identity_to_player_match_observations,TRUE,Player-match observations require verified player and fixture identity.
minutesPlayed,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,player_fixture,OBSERVATION,player_identity_to_player_match_observations,TRUE,Player-match observations require verified player and fixture identity.
onTargetScoringAttempt,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,player_fixture,OBSERVATION,player_identity_to_player_match_observations,TRUE,Player-match observations require verified player and fixture identity.
outfielderBlock,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
ownGoals,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
penaltyConceded,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
penaltyFaced,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
penaltyMiss,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,player_fixture,OBSERVATION,player_identity_to_player_match_observations,TRUE,Player-match observations require verified player and fixture identity.
penaltySave,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
penaltyWon,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
pl_code,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,player_fixture,OBSERVATION,player_identity_to_player_match_observations,TRUE,Player-match observations require verified player and fixture identity.
playerId,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,RELATIONSHIP_METADATA_PRESENT,NOT_IN_DIRECT_GRAIN,UNMAPPED_REVIEW,UNKNOWN,,FALSE,No deterministic relationship contract mapping; manual review required.
playerName,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,RELATIONSHIP_METADATA_PRESENT,NOT_IN_DIRECT_GRAIN,player_season,ENTITY,source_player_identity_to_player_season,TRUE,Player-season rows require season-aware source-player identity.
position,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,RELATIONSHIP_METADATA_PRESENT,NOT_IN_DIRECT_GRAIN,UNMAPPED_REVIEW,UNKNOWN,,FALSE,No deterministic relationship contract mapping; manual review required.
possessionLostCtrl,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,player_fixture,OBSERVATION,player_identity_to_player_match_observations,TRUE,Player-match observations require verified player and fixture identity.
progressiveBallCarriesCount,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,player_fixture,OBSERVATION,player_identity_to_player_match_observations,TRUE,Player-match observations require verified player and fixture identity.
punches,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
rating,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,player_fixture,OBSERVATION,player_identity_to_player_match_observations,TRUE,Player-match observations require verified player and fixture identity.
savedShotsFromInsideTheBox,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,player_fixture,OBSERVATION,player_identity_to_player_match_observations,TRUE,Player-match observations require verified player and fixture identity.
saves,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
season,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,RELATIONSHIP_METADATA_PRESENT,NOT_IN_DIRECT_GRAIN,player_season,ENTITY,source_player_identity_to_player_season,TRUE,Player-season rows require season-aware source-player identity.
shotOffTarget,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
slug,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,player_fixture,OBSERVATION,player_identity_to_player_match_observations,TRUE,Player-match observations require verified player and fixture identity.
substitute,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,player_fixture,OBSERVATION,player_identity_to_player_match_observations,TRUE,Player-match observations require verified player and fixture identity.
substitute.1,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,player_fixture,OBSERVATION,player_identity_to_player_match_observations,TRUE,Player-match observations require verified player and fixture identity.
team,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
team_id,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
totalBallCarriesDistance,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,player_fixture,OBSERVATION,player_identity_to_player_match_observations,TRUE,Player-match observations require verified player and fixture identity.
totalClearance,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
totalContest,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
totalCross,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
totalKeeperSweeper,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
totalLongBalls,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
totalOffside,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
totalOppositionHalfPasses,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,player_fixture,OBSERVATION,player_identity_to_player_match_observations,TRUE,Player-match observations require verified player and fixture identity.
totalOwnHalfPasses,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,player_fixture,OBSERVATION,player_identity_to_player_match_observations,TRUE,Player-match observations require verified player and fixture identity.
totalPass,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
totalProgression,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,player_fixture,OBSERVATION,player_identity_to_player_match_observations,TRUE,Player-match observations require verified player and fixture identity.
totalProgressiveBallCarriesDistance,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,player_fixture,OBSERVATION,player_identity_to_player_match_observations,TRUE,Player-match observations require verified player and fixture identity.
totalShots,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,RELATIONSHIP_METADATA_PRESENT,NOT_IN_DIRECT_GRAIN,player_season,ENTITY,source_player_identity_to_player_season,TRUE,Player-season rows require season-aware source-player identity.
totalTackle,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
touches,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
unsuccessfulTouch,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
venue,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
wasFouled,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,player_fixture,OBSERVATION,player_identity_to_player_match_observations,TRUE,Player-match observations require verified player and fixture identity.
wonContest,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
wonTackle,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
aerialDuels,FRL_LOCAL_CSV,player_season,player_season,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,player_season,ENTITY,source_player_identity_to_player_season,TRUE,Player-season rows require season-aware source-player identity.
aerialDuelsLost,FRL_LOCAL_CSV,player_season,player_season,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,player_season,ENTITY,source_player_identity_to_player_season,TRUE,Player-season rows require season-aware source-player identity.
aerialDuelsWon,FRL_LOCAL_CSV,player_season,player_season,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,player_season,ENTITY,source_player_identity_to_player_season,TRUE,Player-season rows require season-aware source-player identity.
appearances,FRL_LOCAL_CSV,player_season,player_season,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,player_season,ENTITY,source_player_identity_to_player_season,TRUE,Player-season rows require season-aware source-player identity.
