field_name,family,live_status,fixture_concept_status,fixture_concept_pattern,fixture_columns_found,aggregation_status,reason
duels,Duels & Aerials,EXISTING_FIELD,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,REVIEW_REQUIRED,No conservative semantic counterpart is declared in the existing fixture-match evidence vocabulary; requires specialist/source review.
duelsLost,Duels & Aerials,EXISTING_FIELD,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,REVIEW_REQUIRED,No conservative semantic counterpart is declared in the existing fixture-match evidence vocabulary; requires specialist/source review.
duelsWon,Duels & Aerials,EXISTING_FIELD,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,REVIEW_REQUIRED,No conservative semantic counterpart is declared in the existing fixture-match evidence vocabulary; requires specialist/source review.
gamesPlayed,Review,EXISTING_FIELD,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,REVIEW_REQUIRED,No conservative semantic counterpart is declared in the existing fixture-match evidence vocabulary; requires specialist/source review.
goals,Finishing & Goals,EXISTING_FIELD,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,REVIEW_REQUIRED,No conservative semantic counterpart is declared in the existing fixture-match evidence vocabulary; requires specialist/source review.
goalsConceded,Finishing & Goals,EXISTING_FIELD,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,REVIEW_REQUIRED,No conservative semantic counterpart is declared in the existing fixture-match evidence vocabulary; requires specialist/source review.
goalsConcededInsideBox,Finishing & Goals,EXISTING_FIELD,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,REVIEW_REQUIRED,No conservative semantic counterpart is declared in the existing fixture-match evidence vocabulary; requires specialist/source review.
goalsConcededOutsideBox,Finishing & Goals,EXISTING_FIELD,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,REVIEW_REQUIRED,No conservative semantic counterpart is declared in the existing fixture-match evidence vocabulary; requires specialist/source review.
interceptions,Defending,EXISTING_FIELD,MAPPED_CONCEPT_NOT_PRESENT_IN_CURRENT_FILE,*_core_interceptions,,REVIEW_REQUIRED,"A semantic counterpart is recognised conceptually, but the current fixture_match_stats.csv schema does not expose matching columns."
offsides,Discipline & Offside,EXISTING_FIELD,MAPPED_CONCEPT_NOT_PRESENT_IN_CURRENT_FILE,*_core_offsides,,REVIEW_REQUIRED,"A semantic counterpart is recognised conceptually, but the current fixture_match_stats.csv schema does not expose matching columns."
openPlayPasses,Passing & Territory,EXISTING_FIELD,MAPPED_CONCEPT_NOT_PRESENT_IN_CURRENT_FILE,*_core_passes,,REVIEW_REQUIRED,"A semantic counterpart is recognised conceptually, but the current fixture_match_stats.csv schema does not expose matching columns."
penaltiesConceded,Defending,EXISTING_FIELD,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,REVIEW_REQUIRED,No conservative semantic counterpart is declared in the existing fixture-match evidence vocabulary; requires specialist/source review.
penaltiesSaved,Review,EXISTING_FIELD,MAPPED_CONCEPT_NOT_PRESENT_IN_CURRENT_FILE,*_optional_saves,,REVIEW_REQUIRED,"A semantic counterpart is recognised conceptually, but the current fixture_match_stats.csv schema does not expose matching columns."
penaltyGoals,Finishing & Goals,EXISTING_FIELD,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,REVIEW_REQUIRED,No conservative semantic counterpart is declared in the existing fixture-match evidence vocabulary; requires specialist/source review.
penaltyGoalsConceded,Finishing & Goals,EXISTING_FIELD,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,REVIEW_REQUIRED,No conservative semantic counterpart is declared in the existing fixture-match evidence vocabulary; requires specialist/source review.
shotsOffTargetIncWoodwork,Shooting,EXISTING_FIELD,MAPPED_CONCEPT_NOT_PRESENT_IN_CURRENT_FILE,*_core_shots_off_target,,REVIEW_REQUIRED,"A semantic counterpart is recognised conceptually, but the current fixture_match_stats.csv schema does not expose matching columns."
shotsOnTargetIncGoals,Finishing & Goals,EXISTING_FIELD,MAPPED_CONCEPT_NOT_PRESENT_IN_CURRENT_FILE,*_core_shots_on_target,,REVIEW_REQUIRED,"A semantic counterpart is recognised conceptually, but the current fixture_match_stats.csv schema does not expose matching columns."
successfulCornersIntoBox,Crossing & Set Pieces,EXISTING_FIELD,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,REVIEW_REQUIRED,No conservative semantic counterpart is declared in the existing fixture-match evidence vocabulary; requires specialist/source review.
successfulCrossesAndCorners,Crossing & Set Pieces,EXISTING_FIELD,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,REVIEW_REQUIRED,No conservative semantic counterpart is declared in the existing fixture-match evidence vocabulary; requires specialist/source review.
successfulCrossesOpenPlay,Crossing & Set Pieces,EXISTING_FIELD,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,REVIEW_REQUIRED,No conservative semantic counterpart is declared in the existing fixture-match evidence vocabulary; requires specialist/source review.
successfulDribbles,Dribbling,EXISTING_FIELD,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,REVIEW_REQUIRED,No conservative semantic counterpart is declared in the existing fixture-match evidence vocabulary; requires specialist/source review.
successfulLaunches,Passing & Territory,EXISTING_FIELD,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,REVIEW_REQUIRED,No conservative semantic counterpart is declared in the existing fixture-match evidence vocabulary; requires specialist/source review.
successfulLayoffs,Passing & Territory,EXISTING_FIELD,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,REVIEW_REQUIRED,No conservative semantic counterpart is declared in the existing fixture-match evidence vocabulary; requires specialist/source review.
successfulLongPasses,Passing & Territory,EXISTING_FIELD,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,REVIEW_REQUIRED,No conservative semantic counterpart is declared in the existing fixture-match evidence vocabulary; requires specialist/source review.
successfulPassesOppositionHalf,Passing & Territory,EXISTING_FIELD,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,REVIEW_REQUIRED,No conservative semantic counterpart is declared in the existing fixture-match evidence vocabulary; requires specialist/source review.
successfulPassesOwnHalf,Passing & Territory,EXISTING_FIELD,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,REVIEW_REQUIRED,No conservative semantic counterpart is declared in the existing fixture-match evidence vocabulary; requires specialist/source review.
successfulShortPasses,Passing & Territory,EXISTING_FIELD,MAPPED_CONCEPT_NOT_PRESENT_IN_CURRENT_FILE,*_core_accurate_passes,,REVIEW_REQUIRED,"A semantic counterpart is recognised conceptually, but the current fixture_match_stats.csv schema does not expose matching columns."
tacklesLost,Defending,EXISTING_FIELD,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,REVIEW_REQUIRED,No conservative semantic counterpart is declared in the existing fixture-match evidence vocabulary; requires specialist/source review.
tacklesWon,Defending,EXISTING_FIELD,MAPPED_CONCEPT_NOT_PRESENT_IN_CURRENT_FILE,*_core_tackles_won,,REVIEW_REQUIRED,"A semantic counterpart is recognised conceptually, but the current fixture_match_stats.csv schema does not expose matching columns."
unsuccessfulCornersIntoBox,Crossing & Set Pieces,EXISTING_FIELD,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,REVIEW_REQUIRED,No conservative semantic counterpart is declared in the existing fixture-match evidence vocabulary; requires specialist/source review.
unsuccessfulCrossesAndCorners,Crossing & Set Pieces,EXISTING_FIELD,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,REVIEW_REQUIRED,No conservative semantic counterpart is declared in the existing fixture-match evidence vocabulary; requires specialist/source review.
unsuccessfulCrossesOpenPlay,Crossing & Set Pieces,EXISTING_FIELD,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,REVIEW_REQUIRED,No conservative semantic counterpart is declared in the existing fixture-match evidence vocabulary; requires specialist/source review.
unsuccessfulDribbles,Dribbling,EXISTING_FIELD,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,REVIEW_REQUIRED,No conservative semantic counterpart is declared in the existing fixture-match evidence vocabulary; requires specialist/source review.
unsuccessfulLaunches,Passing & Territory,EXISTING_FIELD,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,REVIEW_REQUIRED,No conservative semantic counterpart is declared in the existing fixture-match evidence vocabulary; requires specialist/source review.
unsuccessfulLayoffs,Passing & Territory,EXISTING_FIELD,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,REVIEW_REQUIRED,No conservative semantic counterpart is declared in the existing fixture-match evidence vocabulary; requires specialist/source review.
unsuccessfulLongPasses,Passing & Territory,EXISTING_FIELD,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,REVIEW_REQUIRED,No conservative semantic counterpart is declared in the existing fixture-match evidence vocabulary; requires specialist/source review.
unsuccessfulPassesOwnHalf,Passing & Territory,EXISTING_FIELD,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,REVIEW_REQUIRED,No conservative semantic counterpart is declared in the existing fixture-match evidence vocabulary; requires specialist/source review.
unsuccessfulShortPasses,Passing & Territory,EXISTING_FIELD,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,REVIEW_REQUIRED,No conservative semantic counterpart is declared in the existing fixture-match evidence vocabulary; requires specialist/source review.
